name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
Kamal's Veg Restaurant,99,3.5,"38, Bentinck Street, Near Paradise Cinema, Esplanade, Kolkata","North Indian, Mughlai, Chinese, Biryani, Ice Cream, Beverages",600,11am – 11pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Combo King,Cuisines:,0.0,"6A, Muzaffar Ahmed Street, Taltala, Kolkata","North Indian, Mughlai, Chinese, Biryani, Ice Cream, Beverages",500,11am – 11pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Baba Fast Food Center,Cuisines:,0.0,"64, Bentinck Street, Near Orient Cinema, Esplanade, Kolkata","Chinese, Mughlai",150,12noon – 10pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Taste Of Nawaab,Cuisines:,0.0,"16, Tiljala Road, Kolkata Municipal Corporation, Taltala, Kolkata","Chinese, Mughlai",300,12noon – 3am (Mon-Sun),Taltala,Kolkata,Mon-Sun
A1tea E chai,Cuisines:,0.0,"17/2/H/9, Smith Lane, Janbazar, Taltala, Kolkata",Biryani,100,5am – 10pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Masala Garam,Cuisines:,-1.0,"102, Collin Street, Near D K International, Taltala, Kolkata",Biryani,250,-1,Taltala,Kolkata,Mon-Sun
Ganachè,Cuisines:,0.0,"6/1A, Moira Street, Mangaldeet Building, Minto Park, Kolkata",North Indian,300,10am – 8pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Tasty King,Cuisines:,0.0,"9, Tanti Bagan lane, kolkata, Taltala, Kolkata",North Indian,200,2pm – 10:30pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Aroma Fast Food Hub,235,3.7,"33, Bright Street, Near Landmark Bright Nursing Home, Park Circus Area, Kolkata","Chinese, Thai, Asian",250,"12noon – 2:30pm, 5pm – 10:30pm (Mon-Sun)",Park Circus Area,Kolkata,Mon-Sun
New Anam Restaurant,Cuisines:,0.0,"Shop 3A/1, 6A, Ground Floor, Futnani Chambers, S N Banerjee Road, New Market Area, Kolkata","Chinese, Thai, Asian",600,11am – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Om Snacks Center,10,3.0,"17, Dr. Suresh Sarkar Road, Ground Floor, Ward 55, Municipal Corporation, Entally, Kolkata","Chinese, North Indian, Continental",150,11am – 10pm (Mon-Sun),Entally,Kolkata,Mon-Sun
Backstreet Kitchen,22,3.4,"22/3C, Bright Street, Park Circus Area, Kolkata","Chinese, North Indian, Continental",400,10am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Dairy Queen,4,3.2,"3, Dr. Biresh Guha Street, Ward 64, Park Circus Area, Kolkata","Italian, Middle Eastern, Asian",250,12:30pm – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Q3 Cafe,8,3.1,"Ground Floor, 5 B, West Range, Elgin, Kolkata","Italian, Middle Eastern, Asian",700,11am – 11pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Hot Nuts,15,3.2,"6/2A, Near Conclave Club, A.J.C Bose Road, Circus Avenue, Park Circus Area, Kolkata",Beverages,150,"10am – 8pm (Mon-Sat),Closed (Sun)",Park Circus Area,Kolkata,Mon-Sat
Kefi Lounge,53,3.3,"10E, Hathwa Regency, Hungerford Street, Picasso Bithi, Theatre Road, Kolkata",Beverages,800,7am – 12midnight (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
New Royal Biryani,18,3.0,"2, Dr. Lal Mohan Bhattachariya Road, Entally, Kolkata","Bakery, Desserts",200,12noon – 11pm (Mon-Sun),Entally,Kolkata,Mon-Sun
Hot Chilli,45,3.6,"B/9/H/7, New Kasia Bagan Lane, Opposite Book Land, Samsul Huda Road, Park Circus Area, Kolkata","Bakery, Desserts",500,"2pm – 1am (Mon, Sun), 1pm – 11pm...",Park Circus Area,Kolkata,"Mon, Sun"
New Amania Biryani,26,3.2,"3/1H/17, Sir Syed Ahmed Road, Entally, Kolkata","North Indian, Biryani, Bengali",200,12noon – 4am (Mon-Sun),Entally,Kolkata,Mon-Sun
Zero Degree Cafe & Lounge,14,3.2,"12/1, 1st Floor, Nellie Sengupta Sarani, Lindsay Street, New Market Area, Kolkata","North Indian, Biryani, Bengali",600,12noon – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Chowang's Fast Food,6,3.2,"3, Haji Mohammad Mohsin Square, Taltala, Kolkata","North Indian, Biryani",200,11am – 11pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Kafe Caramel,2,2.9,"Hotel Kempton, 3, Marquis Street, New Market Area, Kolkata","North Indian, Biryani",700,7:30am – 10:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
The 10e Cafe,386,3.7,"10E, Hungerford Street, Theatre Road, Kolkata","Burger, Fast Food",600,"12midnight – 2am, 8am – 12midnight (Mon-Sun)",Theatre Road,Kolkata,Mon-Sun
Buzz,455,3.9,"3A, Ho Chi Minh Sarani, Chowringhee, Kolkata","Burger, Fast Food",500,"11:40am – 3:40pm, 5pm – 9pm (Mon-Sat),Closed (Sun)",Chowringhee,Kolkata,Mon-Sat
Ralli's,153,3.8,"10D, JL Nehru Road, Esplanade, Kolkata","Cafe, Mexican, Continental, Chinese, Italian",300,10am – 10pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Paprika,36,3.4,"8/1/1, Loudon Street, Loudon Street Area, Kolkata","Cafe, Mexican, Continental, Chinese, Italian",800,9am – 7pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
Super Pub,41,3.4,"30A, Mirza Ghalib Street, New Market Area, Kolkata","Biryani, Rolls","1,500",12noon – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Punjabi Snacks Bar,12,3.1,"14, Bertram Street, New Market Area, Kolkata","Biryani, Rolls",150,8am – 9pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Lalti Food Centre,20,3.2,"2/1/2, Deb Lane, Park Circus Area, Kolkata","Burger, Fast Food",250,12noon – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Madras Tiffin,154,3.3,"4A, Chowringhee Road, Esplanade, Kolkata","Burger, Fast Food",200,8:30am – 10pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Food Plaza,12,2.8,"20A, Lindsay Street, New Market Area, Kolkata","North Indian, Continental, Mughlai, Chinese",300,11am – 10pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Hindustan Bar And Restaurant,37,3.2,"20, Jawaharlal Nehru Road, Dharmtala, New Market Area, Kolkata","North Indian, Continental, Mughlai, Chinese",600,12noon – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Cafe Green Apple,144,3.5,"8/1A, Nandalal Basu Sarani, Kolkata","Cafe, Continental, Chinese, Beverages",350,9am – 10pm (Mon-Sun),Nandalal Basu Sarani,Kolkata,Mon-Sun
Om Shree Hari,36,3.6,"42A, Shakespeare Sarani, Loudon Street Area, Kolkata","Cafe, Continental, Chinese, Beverages",150,9am – 10pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
Mouchak Delicious Sweets,19,3.4,"6/1A, Auckland Palace, A.J.C. Bose Road, Park Circus Area, Kolkata","North Indian, Chinese",150,6:30am – 9:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Mayaram Restaurant,255,3.5,"1/2, Lord Sinha Road, Theatre Road, Kolkata","North Indian, Chinese",350,11am – 10pm (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
City Biryani,Cuisines:,0.0,"4/1, Shah Babu's Bazar, Chhatu Babu Lane, Entally, Kolkata",Mishti,200,10am – 11pm (Mon-Sun),Entally,Kolkata,Mon-Sun
