name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
Peter Cat,12404,4.2,"18A, Park Street, Park Street Area, Kolkata","North Indian, Continental","1,000",11am – 11:20pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Naturals Ice Cream,2498,4.9,"77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata","North Indian, Continental",200,11am – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Carpe Diem,4083,4.4,"18M, Park Street Area, Kolkata",Ice Cream,"1,000","12noon – 12midnight (Mon, Tue, Wed, Thu, Fri...",Park Street Area,Kolkata,Mon-Sun
Barbeque Nation,5455,4.6,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata",Ice Cream,"1,800","12noon – 3:30pm, 6:30pm – 10:45pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Flurys,4709,4.2,"15, Apeejay House, Park Street Area, Kolkata","Chinese, North Indian, Continental",400,7:30am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
KFC,2135,4.1,"20K, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",450,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Tung Fong,3644,4.3,"25 B, Ground Floor, Karnani Mansion, Free School Street, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","1,000","12noon – 4pm, 6pm – 11pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Arsalan,1500,4.0,"119 A, Muzaffar Ahmed Street, Mirza Ghalib Street Crossing, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","1,000",11am – 11:45pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kusum Rolls,1973,4.1,"21, Karnani Mansion, Park Street Area, Kolkata","Bakery, Desserts, Sandwich",300,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kareem's,1027,4.3,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata","Bakery, Desserts, Sandwich","1,200","12:30pm – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
WOW! China,53,3.8,"19-57, Park Street Area, Kolkata","Fast Food, Burger",650,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Golden Spoon,1000,3.6,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata","Fast Food, Burger",600,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
BarBQ,8321,4.3,"43-47-55, Park Street Area, Kolkata","Chinese, Asian","1,200",12noon – 11:15pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Kebab Factory,Cuisines:,0.0,"33, Royd Street, Park Street Area, Kolkata","Chinese, Asian",350,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Patisserie By Franziska,Cuisines:,-1.0,"13C, Russell Street, Opposite Bengal Club, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani",450,-1,Park Street Area,Kolkata,Mon-Sun
The Sixth Sense,92,4.0,"25B, Karnani Mansion, Opposite Westside, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani","1,500","12noon – 12midnight (Mon-Thu),12noon – 2am...",Park Street Area,Kolkata,Mon-Thu
Food King,23,3.3,"90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, BR-4, Park Street Area, Kolkata",Rolls,300,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Burgrill,888,4.2,"12B/2, Park Street Park, Opposite Oxford Book Store, Park Street Area, Kolkata",Rolls,500,11am – 2am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Zainab Biryani,Cuisines:,0.0,"19, Alimuddin Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",400,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Crepe Cafe,81,4.4,"6/1A, Middleton Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",800,10:30am – 10:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Waffle Wallah,979,4.2,"18 G, Stephen Court, Park Street Area, Kolkata","Chinese, Burmese",450,8am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Shiraz Golden Restaurant,2552,4.0,"135, Park Street Area, Kolkata","Chinese, Burmese",600,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Moulin Rouge,1019,3.8,"31, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",700,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Pizza Hut,66,3.7,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",600,11am – 1am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
NFC Food Funda,71,3.9,"48, AJC Bose Road, Near Mother Teresa House, Park Street Area, Kolkata","Chinese, North Indian, Asian",200,12:30pm – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
1000 BC,341,3.9,"Ground Floor, 1, Camac Street, Park Street Area, Kolkata","Chinese, North Indian, Asian","1,000",12noon – 2am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Eaterniaa,505,4.1,"111, Ripon Street, Near Ripon Street Police Museum, Park Street Area, Kolkata",Kebab,500,11:30am – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Barista,45,3.5,"57, Park Street, Park Street Area, Kolkata",Kebab,600,8am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Hot Kati Roll,816,3.8,"1B, Park Estate, Park Street Area, Kolkata","Bakery, Desserts",200,11am – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
One Step Up,1770,4.1,"18A, Park Street, Park Street Area, Kolkata","Bakery, Desserts","1,000",12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Domino's Pizza,99,3.9,"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata","Continental, Chinese, North Indian",400,11am – 3am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Aqua - The Park,801,4.0,"The Park, 17, Park Street Area, Kolkata","Continental, Chinese, North Indian","3,000",-1,Park Street Area,Kolkata,Mon-Sun
Roll It Out,80,3.9,"2, Middle Row, Park Street Area, Kolkata","Chinese, Fast Food",350,"11am – 1am (Mon),11am – 3am (Tue-Sun)",Park Street Area,Kolkata,Mon
Paradise Biryani,Cuisines:,0.0,"Shop 30 D, Ground Floor, Building Chowringhee Mansion, Jawaharlal Nehru Road, Park Street Area, Kolkata","Chinese, Fast Food",800,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Nawab Dum Biryani,21,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food",500,11am – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Bridge - The Park,676,4.0,"The Park, 17, Park Street, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food","3,000",12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Koshe Kosha,640,4.0,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata","Biryani, Mughlai",700,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The GT Route - Jameson Inn Shiraz,167,3.9,"56, Park Street Area, Kolkata","Biryani, Mughlai",850,"12noon – 4pm, 7:30pm – 11:30pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Aurum Club & Kitchen,577,4.1,"1/1, Camac Street, Opposite Allen Park, Park Street Area, Kolkata",Cafe,"1,000",1pm – 2am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Sienna Store & Cafe,Cuisines:,-1.0,"24, 1st Floor, Development House, Park Street Area, Kolkata",Cafe,900,-1,Park Street Area,Kolkata,Mon-Sun
Trincas,1465,4.1,"17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","1,500",11:30am – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Zen - The Park,366,4.1,"The Park, 17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","4,000",-1,Park Street Area,Kolkata,Mon-Sun
Lost in Taste,23,3.2,"115, Muzaffar Ahmed Street Adjacent, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",500,12noon – 3am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
WOW! Momo,66,3.9,"1, Ho Chi Minh Sarani, Opposite to Central, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",350,10:30am – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Midnight Bites,866,3.7,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","North Indian, Finger Food, Chinese",400,6pm – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
SpiceKlub,1137,4.2,"1st Floor, 24, Park Street, Annex Building, Magma House Complex, Park Street Area, Kolkata","North Indian, Finger Food, Chinese","2,100","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Saffron - The Park,355,4.1,"The Park, 17, Park Street Area, Kolkata","Pizza, Desserts, Fast Food","1,900",-1,Park Street Area,Kolkata,Mon-Sun
Best of Gupta's,78,3.6,"53C, Mirza Galib Street, New Market Area, Kolkata","Pizza, Desserts, Fast Food",800,11am – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Grill & Shakes,34,3.5,"94, Ripon Street, Park Street Area, Kolkata",Fast Food,350,12noon – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Leafy Affaire The Cafe,85,3.9,"10 B, Sir William Jones, Sarani, Park Street Area, Kolkata",Fast Food,500,8am – 9pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Oasis,918,3.8,"33, Park Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",900,11am – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Food King,6,3.1,"94A, Ground Floor, Ripon Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",250,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kung Pao,159,4.4,"57 A, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food",800,12:30pm – 4:30am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Waldorf,504,3.5,"13D, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food","1,000",12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Golden Dragon,1287,3.9,"40A, 57, Park Mansion, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",600,"Closed (Mon),12noon – 10:45pm (Tue-Sun)",Park Street Area,Kolkata,Mon
Don Giovanni's Good Fellas,967,4.2,"57 A, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",800,12:30pm – 1am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Neelam Restaurant,16,3.0,"40 B, Ground Floor, Acharya Jagadish Chandra Bose Road, Park Street Area, Kolkata",Rolls,300,"12noon – 4:30pm, 7:15pm – 12midnight (Mon-Sun)",Park Street Area,Kolkata,"Tue, Wed,Thu, Fri, Sat, Sun"
Park Pavilion - Jameson Inn Shiraz Hotel,169,3.8,"56, Park Street Area, Kolkata",Rolls,"1,200",24 Hours (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Wabi Sabi,Cuisines:,-1.0,"24, 1st Floor, Anuj Chambers, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",950,-1,Park Street Area,Kolkata,Mon-Sun
Haldiram's Express,9,2.9,"195, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",350,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Silver Spoon,51,3.6,"35/1A, Mcleod Street, Park Street Area, Kolkata","Pizza, Fast Food",400,6pm – 3am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Crazy 4 Cakes,Cuisines:,0.0,"7/1, Russel Street, Park Street Area, Kolkata","Pizza, Fast Food",200,10:30am – 9:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Cave,321,4.3,"12, Russel Street Area, Kolkata",Finger Food,"1,200",11am – 11pm (Mon-Sun),Russel Street Area,Kolkata,Mon-Sun
The Biryani Mahal,124,3.5,"54/2, Rafi Ahmed, Kidwai Road, Park Street Area, Kolkata",Finger Food,400,11am – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Sams Pub,Cuisines:,-1.0,"13D, Park Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food","1,000",-1,Park Street Area,Kolkata,Mon-Sun
Rollick,411,4.2,"1A, Russel Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food",300,"12noon – 11pm (Mon-Fri),1pm – 11:30pm (Sat-Sun)",Park Street Area,Kolkata,Mon-Fri
UBQ by Barbeque Nation,67,3.5,"1st Floor, Park Center, Building 24, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",200,"12noon – 3pm, 6:30pm – 11pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Metro Icecream,56,3.7,"12A, Park Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",100,10am – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Noodle Time,217,3.8,"94A, Ripon Street, Kolkata","Biryani, North Indian, Chinese",400,12noon – 11pm (Mon-Sun),Ripon Street,Kolkata,Mon-Sun
Parantha Pundit,Cuisines:,0.0,"13, Ho Chi Minh Sarani, Kankaria Estates, Park Street Area, Kolkata","Biryani, North Indian, Chinese",200,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Chicken King N Pizza Day,6,3.0,"1, KYD Street, Palace Court, Park Street Area, Kolkata","Italian, Continental",300,8:30am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Dawat-E-Biryani,11,3.2,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Italian, Continental",300,6pm – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Baskin Robbins,155,3.9,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata",Bengali,300,10:30am – 9:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Firangi Food Smith,56,3.6,"12B/2, Park Street Area, Kolkata",Bengali,750,8am – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Accord,141,3.7,"The Corporate, 4, Royd Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",500,7:30am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Rahmania,386,3.5,"56, Park Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",700,12noon – 10:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Happiness Station,10,3.3,"Metro Plaza Mall, Near Tata Steel, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",300,11:30am – 9:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Biryanishk By The Biryani Company,5,2.9,"43, Mirza Ghalib Street, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",450,11am – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Dreamland Restaurant & Bar,89,3.7,"83A, Park Street, Park Street Area, Kolkata","Healthy Food, Salad, Juices",500,12noon – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
MO2,7,3.1,Delivery Only,"Healthy Food, Salad, Juices",150,12noon – 11pm (Mon-Sun),,Delivery Only,Mon-Sun
The Street - The Park,388,3.8,"The Park, 17, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",900,-1,Park Street Area,Kolkata,Mon-Sun
Floriana,144,3.5,"13D, Middleton Row, Park Street Area, Kolkata","Chinese, North Indian, Continental","1,000",11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Magnolia,593,3.4,"12K, Park Street, Near Park Hotel, Park Street Area, Kolkata","Chinese, Thai, Japanese","1,200",11am – 10:45pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Saiji Confectionary,32,3.4,"77/1, Park Street, Park Street Area, Kolkata","Chinese, Thai, Japanese",150,10am – 6pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Bombay Toastee,34,4.1,"18 G, Municipal Corporation, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",200,8am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Ramesh Chilla Wala,6,3.1,"Russel Street, Near Bombay Dyeing, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",100,4pm – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Good Food Cafe,10,3.2,"18G, Park Street Area, Kolkata","Tibetan, Momos","1,200",8am – 9pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Hot Kati Roll,7,3.1,"23, Mcleod Street, Park Street Area, Kolkata","Tibetan, Momos",250,12noon – 3am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Universal Cafe,10,3.2,"23 A, Royd Street, Park Street Area, Kolkata","Chinese, Pizza, Burger",300,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Arambagh Restaurant,4,3.0,"45, Mirza Ghalib Street, Kolkata, Park Street Area, Kolkata","Chinese, Pizza, Burger",250,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Shireen Biryani And Fast Food,6,3.0,"40/1, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",North Indian,350,12:30pm – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Rajnigandha Bar,10,3.2,"13D, Middleton Row, Park Street Area, Kolkata",North Indian,"1,300",11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Yippee Point,35,3.4,"77/1,  Park Street Area, Kolkata","North Indian, Bengali",150,"11am – 8pm (Mon-Sat),Closed (Sun)", Park Street Area,Kolkata,Mon-Sat
Grill Sandwich & Juice,35,3.6,"23/A, Royd Street, Park Street Area, Kolkata","North Indian, Bengali",400,"8am – 9pm (Mon-Sat),Closed (Sun)",Park Street Area,Kolkata,Mon-Sat
Cafe Coffee Day Square,79,3.4,"55 Park Street, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",700,8am – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Danish Biryani Hub,18,3.3,"189, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",200,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Wow Chicken,11,3.3,"11, Mistry Para Lane, Beniapukur, Near Park Circus Area, Kolkata","Beverages, Fast Food",200,12noon – 4am (Mon-Sun),Near Park Circus Area,Kolkata,Mon-Sun
Schezwan Kitchen,13,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Beverages, Fast Food",250,6pm – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Burger Bites,52,3.5,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",200,6pm – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Silver Grill,324,2.3,"18E, Park Street, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",800,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Suruchi,45,3.5,"89, Elliot Road, Park Street Area, Kolkata","Chinese, North Indian, Continental",200,"10:30am – 5:45pm (Mon-Fri),10:30am – 4pm...",Park Street Area,Kolkata,Mon-Fri
Starlit Garden Bar,61,3.5,"31, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",500,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Roll Shop,33,3.2,"31, Park Street, Park Street Area, Kolkata","Chinese, Bengali",250,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Sweet Temptations,8,3.1,"Flat 2B, 2nd Floor, Sitar Building, Commissariate Road, Hastings, Park Street Area, Kolkata","Chinese, Bengali",150,10am – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Balaram Mullick & Radharaman Mullick Sweets,495,4.1,"22, Park Street, Park Street Area, Kolkata","Chinese, Thai",300,10am – 9pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Baba Fast Food,43,3.4,"27B, Park Street, Park Street Area, Kolkata","Chinese, Thai",300,12noon – 10:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Deja Bowl,34,3.6,Delivery Only,"Chinese, Asian",300,12noon – 11:30pm (Mon-Sun),,Delivery Only,Mon-Sun
The Pancake Centre,30,3.6,"Food Court, Metro Shopping Centre, 1 Ho Chi Minh Sarani, Park Street Area, Kolkata","Chinese, Asian",200,12noon – 9:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Middy's Chef Roll,50,3.6,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Chinese, Cantonese",250,6pm – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kaveh - House Of Nawabs,6,3.2,"85, Park Street Area, Kolkata","Chinese, Cantonese",400,12noon – 2am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Adraq,17,3.4,"SilverKey Executive Stays 30334, 163 A, Terrace Floor, Park Street Main Road, Park Street Area, Kolkata","Italian, Thai, Chinese, Burger",300,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Rise And Shine,Cuisines:,0.0,Delivery Only,"Italian, Thai, Chinese, Burger",400,8am – 9pm (Mon-Sun),,Delivery Only,Mon-Sun
Haan 'D' Biryani,332,3.8,"55, Ripon Street, Park Street Area, Kolkata","North Indian, Mughlai, Biryani",400,1pm – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Ilish Truly Bong Restaurant,137,4.0,"83 B, Park Street Area, Kolkata","North Indian, Mughlai, Biryani","1,200",12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Juice+,29,3.2,"94, Ripon Street, Park Street Area, Kolkata","North Indian, Continental, South Indian, Chinese",200,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Biryani Inc.,49,4.2,Delivery Only,"North Indian, Continental, South Indian, Chinese",400,12noon – 1am (Mon-Sun),,Delivery Only,Mon-Sun
Lazeez Express,Cuisines:,0.0,"Hotel Royal Garden, 163A, Park Street Main Road, Park Street Area, Kolkata","Italian, Continental",500,12noon – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Chopstick,Cuisines:,0.0,"67, Elliot Road, Park Street Area, Kolkata","Italian, Continental",150,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Co Dee Empresa Hotel,Cuisines:,0.0,"12/2A, KYD Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",100,7:30am – 10:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Fast Food Center,Cuisines:,0.0,"1, Camac Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",200,11am – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Subway,535,3.8,"57A, Park Mansion, Park Street Area, Kolkata",Chinese,500,12noon – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Burger Bros,Cuisines:,0.0,"10B, Sir William Jones Sarani, Park Street Area, Kolkata",Chinese,350,8am – 9pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Tasty Tales,Cuisines:,0.0,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Bakery, Desserts, Fast Food",350,"8am – 9pm (Mon-Sat),11am – 9pm (Sun)",Park Street Area,Kolkata,Mon-Sat
The Cafe Harmony,Cuisines:,0.0,"4, Royd Street, Opposite Royd Nursing Home, Park Street Area, Kolkata","Bakery, Desserts, Fast Food","1,000",12noon – 10:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Food Corner,Cuisines:,-1.0,"1, Waliullah Lane, Park Street Area, Kolkata","Chinese, North Indian, Continental",150,-1,Park Street Area,Kolkata,Mon-Sun
Pizza Gully,Cuisines:,0.0,"13, Ho Chi Minh Sarani, Kankaria Estates, Tata Centre, Metro Shopping Plaza, Park Street Area, Kolkata","Chinese, North Indian, Continental",400,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Uddta Punjab Dhaba,233,4.2,"57 A, 1st Floor, Park Street Area, Kolkata","Biryani, North Indian",650,12noon – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Burger Factory,71,4.1,"57 A, Park Street Area, Kolkata","Biryani, North Indian",500,12noon – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Bhikharam Chandmal,76,3.4,"46 C, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata","North Indian, Chinese, Continental",200,8am – 9pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Wok This Way,Cuisines:,0.0,"20, 1st & 2nd Floor, Mirza Ghalib Street Park Street Area, Kolkata","North Indian, Chinese, Continental",250,12noon – 11pm (Mon-Sun),Mirza Ghalib Street Park Street Area,Kolkata,Mon-Sun
Momma's Soup,Cuisines:,0.0,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Ice Cream, Desserts",350,8am – 9pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kolkata Taj Biryani,6,3.3,"110/A, Ground Floor, Ripon Street, Park Street Area, Kolkata","Ice Cream, Desserts",150,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Bombay Restaurant,Cuisines:,0.0,"Ground Floor, 114A, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",400,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Naasta On Wheels,Cuisines:,0.0,"8/1A, Little Russel Street, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",500,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Zam Zam,1728,4.3,"28/A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",Ice Cream,700,12noon – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Mezban,2305,3.8,"6, Ripon Street, Near Triangular Park, Wellesley, Kolkata",Ice Cream,500,10am – 12:59am (Mon-Sun),Wellesley,Kolkata,Mon-Sun
Blue And Beyond,2515,3.9,"The Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata",Chinese,"1,600",12noon – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
The Awadh Restaurant,1837,4.2,"17, Park Circus Area, Kolkata",Chinese,900,11am – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Chowman,1169,4.4,"3, Ho Chi Minh Sarani, Little Rusell Street Post Office, Camac Street Area, Kolkata","North Indian, Beverages","1,000",12noon – 10:30pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Oh! Calcutta,1910,4.4,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata","North Indian, Beverages","1,800","12:45pm – 3pm, 7pm – 11pm (Mon-Fri),12noon –...",Elgin,Kolkata,Mon-Fri
Royal Indian Restaurant,2010,4.1,"24A, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Fast Food, North Indian, Chinese",700,11am – 1am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
